Deal Title,Person Name,Email,Phone,Budget,Source,Interest,Status,Loss Reason
Сделка с Николаева Алевтина Леонидовна,Николаева Алевтина Леонидовна,ilarion_1981@example.com,+7 (188) 120-2758,9451,email,Косметика,open,
Сделка с Евграф Валерьянович Рыбаков,Евграф Валерьянович Рыбаков,melnikovafevronija@example.net,+7 867 950 3575,1974,instagram,Образование,open,
Сделка с Ксения Робертовна Беляева,Ксения Робертовна Беляева,ziminatatjana@example.com,+74929274512,10844,google,Косметика,open,
Сделка с Евсей Фомич Баранов,Евсей Фомич Баранов,sorokinapraskovja@example.net,85722569097,4555,email,Авто,lost,ушёл к конкуренту
Сделка с Ирина Геннадьевна Тимофеева,Ирина Геннадьевна Тимофеева,melnikovmihail@example.org,+7 999 960 6376,2190,facebook,Авто,won,
Сделка с тов. Соболева Анжелика Натановна,тов. Соболева Анжелика Натановна,fedotovsofon@example.com,8 086 521 9246,6526,прямой заход,Электроника,open,
Сделка с Блохин Ратибор Бориславович,Блохин Ратибор Бориславович,vladislav2012@example.com,8 (264) 207-69-57,2213,facebook,Косметика,won,
Сделка с Алексеев Адриан Феликсович,Алексеев Адриан Феликсович,dorofeevjuri@example.net,8 965 421 23 16,7108,google,Косметика,open,
Сделка с Кабанова Нинель Максимовна,Кабанова Нинель Максимовна,sidor1976@example.com,+7 340 323 5662,2398,google,Образование,open,
Сделка с Регина Степановна Виноградова,Регина Степановна Виноградова,borislavmedvedev@example.org,8 442 992 9816,5358,email,Недвижимость,open,
Сделка с Калашникова Ольга Робертовна,Калашникова Ольга Робертовна,kazakovmstislav@example.com,+7 (378) 331-8244,5421,прямой заход,Недвижимость,open,
Сделка с Петухов Михей Феофанович,Петухов Михей Феофанович,lavr_2019@example.org,+7 461 011 99 31,14503,прямой заход,Авто,won,
Сделка с Дьячкова Лукия Матвеевна,Дьячкова Лукия Матвеевна,gromovkonstantin@example.net,+72036949045,14415,прямой заход,Косметика,won,
Сделка с Михеев Модест Ильясович,Михеев Модест Ильясович,komissarovvladlen@example.net,+7 (656) 859-51-78,11029,facebook,Электроника,open,
Сделка с Нестерова Екатерина Дмитриевна,Нестерова Екатерина Дмитриевна,orest_2005@example.net,8 (933) 915-26-68,14404,google,Авто,won,
Сделка с София Алексеевна Максимова,София Алексеевна Максимова,efimovizot@example.net,+7 (302) 373-55-31,6639,прямой заход,Недвижимость,open,
Сделка с Фадеева Зоя Геннадьевна,Фадеева Зоя Геннадьевна,fbogdanov@example.net,8 (367) 276-6338,8811,facebook,Электроника,lost,нет времени
Сделка с Виктор Григорьевич Елисеев,Виктор Григорьевич Елисеев,zosima2024@example.org,+7 513 594 78 22,3821,прямой заход,Образование,open,
Сделка с Анна Станиславовна Беляева,Анна Станиславовна Беляева,regina1995@example.net,83648633828,1209,прямой заход,Электроника,open,
Сделка с Вероника Станиславовна Суханова,Вероника Станиславовна Суханова,demid2022@example.com,8 667 026 52 49,12125,email,Образование,won,
Сделка с Шилов Дмитрий Гурьевич,Шилов Дмитрий Гурьевич,lefimov@example.net,+7 (226) 217-82-15,7681,facebook,Электроника,open,
Сделка с Осипов Савватий Владиленович,Осипов Савватий Владиленович,olimpi_13@example.net,87817190616,13423,facebook,Электроника,open,
Сделка с Игнатьева Лора Евгеньевна,Игнатьева Лора Евгеньевна,nifont_41@example.com,+7 (609) 189-57-15,4925,email,Образование,lost,неинтересно
Сделка с Яковлева Полина Кузьминична,Яковлева Полина Кузьминична,uvarovasofija@example.net,8 697 135 2042,10755,google,Электроника,won,
Сделка с Журавлев Харитон Иларионович,Журавлев Харитон Иларионович,muravevajulija@example.com,8 533 876 16 47,10811,google,Электроника,open,
Сделка с Фокин Кир Валентинович,Фокин Кир Валентинович,zoja1979@example.org,+75510025252,10379,google,Косметика,open,
Сделка с Щукина Нонна Рубеновна,Щукина Нонна Рубеновна,shubinfade@example.com,+7 (095) 768-10-45,10180,email,Электроника,open,
Сделка с Регина Валентиновна Рожкова,Регина Валентиновна Рожкова,janershov@example.net,+7 (062) 873-1927,5589,facebook,Электроника,open,
Сделка с Сысоев Климент Артемьевич,Сысоев Климент Артемьевич,naumovvladimir@example.com,8 025 959 75 67,1442,facebook,Образование,open,
Сделка с Горшков Рубен Федосьевич,Горшков Рубен Федосьевич,mishinmaksimiljan@example.com,83966848334,2655,email,Авто,open,
Сделка с Никифор Жанович Карпов,Никифор Жанович Карпов,savelevaivanna@example.org,8 936 139 68 40,6430,facebook,Авто,open,
Сделка с Лебедев Модест Трифонович,Лебедев Модест Трифонович,kornil_2002@example.net,+74722007891,6300,facebook,Косметика,open,
Сделка с Дарья Сергеевна Евсеева,Дарья Сергеевна Евсеева,avoronov@example.org,+7 011 098 46 23,14346,instagram,Недвижимость,open,
Сделка с Ефремов Григорий Венедиктович,Ефремов Григорий Венедиктович,mihalovaveronika@example.org,8 (143) 285-86-54,6684,прямой заход,Образование,open,
Сделка с Ульяна Николаевна Панфилова,Ульяна Николаевна Панфилова,bazhen_63@example.com,+7 (571) 818-1479,1166,instagram,Косметика,open,
Сделка с Гедеон Зиновьевич Герасимов,Гедеон Зиновьевич Герасимов,natalja26@example.net,+76479071688,2123,instagram,Электроника,open,
Сделка с Миронов Панкрат Харлампьевич,Миронов Панкрат Харлампьевич,luchezarvishnjakov@example.com,+7 (521) 490-03-97,1867,email,Косметика,open,
Сделка с Остромир Владиленович Филатов,Остромир Владиленович Филатов,gostomisl2001@example.com,+73558901657,12436,facebook,Авто,lost,нет времени
Сделка с Бирюкова Тамара Макаровна,Бирюкова Тамара Макаровна,nikandr_27@example.com,8 (049) 853-71-42,4925,google,Электроника,open,
Сделка с Надежда Александровна Турова,Надежда Александровна Турова,mihalovanikita@example.net,+7 (756) 735-37-66,9815,прямой заход,Авто,won,
Сделка с Казакова Евгения Дмитриевна,Казакова Евгения Дмитриевна,oksana2011@example.org,+71116934080,7661,facebook,Косметика,lost,ушёл к конкуренту
Сделка с Чернова Александра Мироновна,Чернова Александра Мироновна,german1986@example.net,+77077289378,9352,прямой заход,Недвижимость,open,
Сделка с Октябрина Макаровна Владимирова,Октябрина Макаровна Владимирова,zikovporfiri@example.com,+71829812708,13614,email,Недвижимость,lost,слишком дорого
Сделка с Януарий Иларионович Мясников,Януарий Иларионович Мясников,osip34@example.net,+7 701 177 83 64,6244,instagram,Образование,won,
Сделка с Ковалева Феврония Антоновна,Ковалева Феврония Антоновна,samsonovakim@example.net,8 (661) 063-4088,6783,facebook,Электроника,lost,ушёл к конкуренту
Сделка с Дмитриева Пелагея Оскаровна,Дмитриева Пелагея Оскаровна,tsimonov@example.net,+75577792491,6670,instagram,Электроника,open,
Сделка с Архипов Корнил Алексеевич,Архипов Корнил Алексеевич,larionovklavdi@example.net,8 (631) 131-0195,9427,email,Косметика,open,
Сделка с Федосеева Агафья Степановна,Федосеева Агафья Степановна,hristoforfilippov@example.net,+7 (324) 451-8299,3777,google,Недвижимость,open,
Сделка с Мартын Харлампьевич Аксенов,Мартын Харлампьевич Аксенов,moke_1993@example.org,+7 562 895 5666,7229,facebook,Образование,won,
Сделка с Яков Марсович Воронцов,Яков Марсович Воронцов,maksimkotov@example.org,8 733 446 9300,12035,instagram,Образование,open,
Сделка с Харитонова Ольга Дмитриевна,Харитонова Ольга Дмитриевна,ermakovvisheslav@example.org,8 (214) 337-89-57,10078,facebook,Косметика,lost,неинтересно
Сделка с Селиверст Филиппович Назаров,Селиверст Филиппович Назаров,serafim2015@example.net,+7 (222) 083-05-18,14924,прямой заход,Электроника,lost,слишком дорого
Сделка с Октябрина Ивановна Русакова,Октябрина Ивановна Русакова,gorbunovolimpi@example.org,8 324 214 2423,10396,facebook,Образование,won,
Сделка с Севастьян Жоресович Селиверстов,Севастьян Жоресович Селиверстов,ivanna2017@example.com,+7 910 407 9974,5221,instagram,Электроника,won,
Сделка с Святополк Ефимович Калинин,Святополк Ефимович Калинин,rgordeev@example.com,8 875 533 3746,1337,прямой заход,Косметика,lost,нет времени
Сделка с Кондратий Бенедиктович Журавлев,Кондратий Бенедиктович Журавлев,valentin17@example.com,85119309542,3693,facebook,Недвижимость,lost,неинтересно
Сделка с Брагин Лонгин Демьянович,Брагин Лонгин Демьянович,ermakovaolga@example.org,+7 (142) 421-70-17,6462,прямой заход,Косметика,won,
Сделка с Петров Эммануил Федосеевич,Петров Эммануил Федосеевич,kulikovagalina@example.com,8 (645) 138-0516,3149,facebook,Образование,open,
Сделка с Никифорова Мария Олеговна,Никифорова Мария Олеговна,anna_2017@example.org,+7 332 615 3944,5927,прямой заход,Образование,lost,неинтересно
Сделка с Зиновьева Агафья Георгиевна,Зиновьева Агафья Георгиевна,voronovhristofor@example.org,8 181 528 20 65,14264,email,Электроника,won,
Сделка с Логинов Спартак Юлианович,Логинов Спартак Юлианович,feofan2007@example.com,8 (221) 536-56-84,12045,email,Электроника,open,
Сделка с Полякова Олимпиада Вениаминовна,Полякова Олимпиада Вениаминовна,isidorkorolev@example.net,88207821230,1963,facebook,Образование,lost,нет времени
Сделка с Мария Эльдаровна Стрелкова,Мария Эльдаровна Стрелкова,borislav_19@example.net,+7 (345) 013-25-53,13523,прямой заход,Косметика,won,
Сделка с г-н Макаров Григорий Исидорович,г-н Макаров Григорий Исидорович,terentevrodion@example.org,+78291031529,13001,google,Недвижимость,open,
Сделка с Зоя Вадимовна Чернова,Зоя Вадимовна Чернова,melnikovnikita@example.net,+7 387 752 22 17,11634,прямой заход,Недвижимость,won,
Сделка с Дроздов Будимир Владиславович,Дроздов Будимир Владиславович,afinogen_1976@example.com,+7 091 874 58 54,3266,facebook,Недвижимость,open,
Сделка с Анастасия Максимовна Белякова,Анастасия Максимовна Белякова,gremislavershov@example.org,+78058557343,14086,facebook,Недвижимость,lost,ушёл к конкуренту
Сделка с Марина Петровна Кондратьева,Марина Петровна Кондратьева,gseleznev@example.com,+7 (009) 904-95-01,12783,instagram,Образование,open,
Сделка с Моисеева Фаина Викторовна,Моисеева Фаина Викторовна,vseslav_1977@example.net,82291565477,14250,instagram,Недвижимость,won,
Сделка с Кондратьев Соломон Демьянович,Кондратьев Соломон Демьянович,poljakovasinklitikija@example.org,+7 (062) 278-78-14,5202,прямой заход,Электроника,won,
Сделка с Кабанова Галина Константиновна,Кабанова Галина Константиновна,wturova@example.com,8 507 596 0310,12557,instagram,Электроника,open,
Сделка с Гусева Лора Олеговна,Гусева Лора Олеговна,selivan40@example.net,+7 (470) 957-9874,2900,email,Косметика,lost,слишком дорого
Сделка с Лариса Захаровна Дорофеева,Лариса Захаровна Дорофеева,kimorlov@example.org,8 (230) 909-68-38,4088,email,Образование,open,
Сделка с Красильникова Феврония Ждановна,Красильникова Феврония Ждановна,petrovjaropolk@example.org,8 (559) 602-43-70,9111,прямой заход,Образование,open,
Сделка с Мартьян Григорьевич Рябов,Мартьян Григорьевич Рябов,naumtihonov@example.org,8 (953) 822-9277,9666,google,Авто,open,
Сделка с Дмитрий Григорьевич Дементьев,Дмитрий Григорьевич Дементьев,guri83@example.com,+7 (941) 568-00-67,14501,google,Косметика,lost,слишком дорого
Сделка с Князева Нонна Яковлевна,Князева Нонна Яковлевна,shilovserge@example.org,86852597444,8950,прямой заход,Косметика,lost,ушёл к конкуренту
Сделка с Лаврентьева Ия Святославовна,Лаврентьева Ия Святославовна,mechislav_43@example.org,+7 (855) 950-6524,8057,email,Образование,lost,неинтересно
Сделка с Гаврилова Жанна Макаровна,Гаврилова Жанна Макаровна,taisija_1991@example.net,8 (572) 862-5202,8171,facebook,Недвижимость,open,
Сделка с Козлова Акулина Петровна,Козлова Акулина Петровна,svetozarfomichev@example.com,+7 (110) 596-34-50,10531,email,Электроника,open,
Сделка с Карпова Милица Константиновна,Карпова Милица Константиновна,zuevapollinari@example.org,81039704568,2297,email,Электроника,lost,нет времени
Сделка с Иосиф Елисеевич Хохлов,Иосиф Елисеевич Хохлов,drozdovaagafja@example.com,+7 (931) 841-74-51,9090,facebook,Недвижимость,won,
Сделка с Парамон Игнатович Зыков,Парамон Игнатович Зыков,gurisemenov@example.com,+7 (898) 455-95-42,10113,email,Электроника,open,
Сделка с Алевтина Архиповна Веселова,Алевтина Архиповна Веселова,avgust_1973@example.com,8 (179) 799-8217,14908,instagram,Косметика,open,
Сделка с Мухин Лаврентий Эдгардович,Мухин Лаврентий Эдгардович,galina_56@example.com,+79097489126,13401,email,Электроника,won,
Сделка с Зинаида Афанасьевна Панова,Зинаида Афанасьевна Панова,artemevpolikarp@example.net,+7 731 696 3430,2290,прямой заход,Образование,open,
Сделка с Артемий Егорович Фролов,Артемий Егорович Фролов,larionovfoti@example.net,8 (083) 000-01-09,14085,email,Образование,open,
Сделка с Мстислав Тимурович Мамонтов,Мстислав Тимурович Мамонтов,fedot2022@example.com,8 984 797 8271,4404,google,Электроника,open,
Сделка с Кононов Яков Ильясович,Кононов Яков Ильясович,pantelemon_76@example.com,8 (476) 235-4256,10801,google,Образование,won,
Сделка с Адам Викторович Калашников,Адам Викторович Калашников,nazarovevse@example.net,8 (556) 867-57-45,3161,google,Недвижимость,open,
Сделка с Эмиль Димитриевич Тарасов,Эмиль Димитриевич Тарасов,nikiforoverofe@example.org,+7 (854) 884-85-94,14439,facebook,Недвижимость,open,
Сделка с Белов Валерьян Вилорович,Белов Валерьян Вилорович,galina_04@example.net,+7 526 482 6015,2227,google,Авто,open,
Сделка с Блохин Онуфрий Августович,Блохин Онуфрий Августович,elizar_1985@example.org,+7 143 812 39 15,13955,google,Авто,open,
Сделка с Милица Дмитриевна Ермакова,Милица Дмитриевна Ермакова,erofe_72@example.com,8 903 675 03 93,11281,email,Недвижимость,open,
Сделка с Трофимов Трифон Захарьевич,Трофимов Трифон Захарьевич,ljubosmisl_57@example.net,+7 777 155 8585,10197,instagram,Косметика,open,
Сделка с Анжелика Эдуардовна Андреева,Анжелика Эдуардовна Андреева,borisovjuri@example.com,8 640 072 1736,8774,instagram,Электроника,lost,неинтересно
Сделка с Симонов Владлен Антонович,Симонов Владлен Антонович,ljubimkabanov@example.org,+7 346 967 98 24,3237,google,Образование,won,
Сделка с Филиппов Ким Ефстафьевич,Филиппов Ким Ефстафьевич,ggerasimov@example.org,+74286828230,1534,instagram,Образование,lost,нет времени
Сделка с Филатов Гостомысл Германович,Филатов Гостомысл Германович,naumovflorentin@example.org,8 (471) 194-93-80,2290,instagram,Авто,lost,неинтересно
Сделка с Татьяна Эдуардовна Анисимова,Татьяна Эдуардовна Анисимова,prokofi_49@example.com,+7 648 365 27 50,11138,email,Авто,open,
Сделка с Вацлав Адрианович Романов,Вацлав Адрианович Романов,fominserge@example.org,8 623 761 44 37,2101,google,Электроника,open,
Сделка с Уварова Маргарита Васильевна,Уварова Маргарита Васильевна,ruslan1974@example.com,+7 795 255 7068,3200,facebook,Косметика,open,
Сделка с Андреев Фока Измаилович,Андреев Фока Измаилович,sharapovlev@example.net,8 804 139 51 96,2256,email,Косметика,open,
Сделка с Бобылева Маргарита Даниловна,Бобылева Маргарита Даниловна,tsvetkovartem@example.org,+7 (163) 905-66-94,7202,facebook,Электроника,open,
Сделка с Евсеева Жанна Максимовна,Евсеева Жанна Максимовна,zinaida_89@example.com,8 717 541 0256,11580,email,Авто,open,
Сделка с Агата Филипповна Харитонова,Агата Филипповна Харитонова,jsimonov@example.net,+7 (244) 021-3538,4053,прямой заход,Косметика,open,
Сделка с Елена Викторовна Моисеева,Елена Викторовна Моисеева,milen2012@example.org,8 733 199 8123,13240,instagram,Недвижимость,open,
Сделка с Кира Константиновна Иванова,Кира Константиновна Иванова,feofan_1977@example.org,86688280006,10404,instagram,Недвижимость,open,
Сделка с Александрова Любовь Матвеевна,Александрова Любовь Матвеевна,wterenteva@example.net,+7 (100) 143-4814,9826,instagram,Электроника,won,
Сделка с Святослав Ефстафьевич Цветков,Святослав Ефстафьевич Цветков,ija1996@example.net,+76733172739,7468,facebook,Косметика,lost,ушёл к конкуренту
Сделка с Силина Октябрина Архиповна,Силина Октябрина Архиповна,shestakovemeljan@example.net,89162816256,9982,instagram,Косметика,lost,нет времени
Сделка с Анжелика Петровна Ершова,Анжелика Петровна Ершова,sidor_2023@example.com,8 (776) 493-3251,14186,прямой заход,Электроника,won,
Сделка с Таисия Афанасьевна Колесникова,Таисия Афанасьевна Колесникова,izot1998@example.net,+7 (326) 577-75-30,4287,instagram,Образование,open,
Сделка с Филимон Ааронович Блинов,Филимон Ааронович Блинов,panovfoma@example.com,+7 (781) 922-2741,10443,instagram,Косметика,open,
Сделка с Леон Анисимович Киселев,Леон Анисимович Киселев,uvarovvissarion@example.com,8 301 777 90 46,5054,email,Косметика,open,
Сделка с Жукова Татьяна Аркадьевна,Жукова Татьяна Аркадьевна,spiridon96@example.org,8 (491) 041-59-03,11099,email,Авто,open,
Сделка с Мстислав Федосеевич Сазонов,Мстислав Федосеевич Сазонов,ereme_2020@example.org,8 217 627 11 10,7112,email,Электроника,won,
Сделка с Пелагея Геннадьевна Харитонова,Пелагея Геннадьевна Харитонова,loginovaanastasija@example.com,+7 320 069 7754,2991,facebook,Электроника,lost,ушёл к конкуренту
Сделка с Третьякова Агафья Ефимовна,Третьякова Агафья Ефимовна,zinovi1999@example.net,8 (169) 382-1545,11991,facebook,Авто,open,
Сделка с Силина Анжела Аркадьевна,Силина Анжела Аркадьевна,kondratipopov@example.com,8 198 483 61 05,2992,email,Авто,open,
Сделка с Кириллова Тамара Натановна,Кириллова Тамара Натановна,milen_44@example.net,85318244945,14238,email,Недвижимость,lost,нет времени
Сделка с Щербакова Анастасия Степановна,Щербакова Анастасия Степановна,frolovanonna@example.org,+7 (555) 306-6117,14562,google,Недвижимость,open,
Сделка с Гуляев Эрнст Викентьевич,Гуляев Эрнст Викентьевич,davidovavera@example.org,8 (382) 114-2771,2265,email,Косметика,open,
Сделка с Уварова Анжела Станиславовна,Уварова Анжела Станиславовна,sidorovosip@example.net,8 816 132 0314,13610,google,Образование,lost,ушёл к конкуренту
Сделка с Давыдов Агафон Бенедиктович,Давыдов Агафон Бенедиктович,olga2003@example.net,+7 (425) 256-9611,4220,facebook,Недвижимость,open,
Сделка с Сорокин Пимен Андреевич,Сорокин Пимен Андреевич,savinaraisa@example.org,+7 (308) 407-8493,14113,email,Электроника,open,
Сделка с Беляев Любомир Юльевич,Беляев Любомир Юльевич,ostromir14@example.com,+70946167032,4487,google,Недвижимость,open,
Сделка с Евгения Юрьевна Капустина,Евгения Юрьевна Капустина,porfiri_1987@example.net,81761853018,11718,email,Электроника,open,
Сделка с Всеволод Артёмович Абрамов,Всеволод Артёмович Абрамов,zaharovmodest@example.net,8 (807) 585-9093,9164,facebook,Образование,open,
Сделка с Зыкова Елена Рудольфовна,Зыкова Елена Рудольфовна,platon_76@example.com,+79498940842,3987,facebook,Косметика,won,
Сделка с Савельева Лидия Оскаровна,Савельева Лидия Оскаровна,oabramova@example.net,+7 (538) 520-5665,10658,google,Недвижимость,open,
Сделка с Устин Измаилович Блинов,Устин Измаилович Блинов,kira_2000@example.com,8 (905) 870-9875,12821,google,Образование,open,
Сделка с Лариса Рубеновна Гришина,Лариса Рубеновна Гришина,kliment_14@example.net,8 016 208 3420,12185,google,Авто,won,
Сделка с Ольга Валентиновна Николаева,Ольга Валентиновна Николаева,aleksandrkotov@example.org,8 (571) 752-3831,7443,instagram,Недвижимость,open,
